id	scale
20250724	0.90
20250731	1.0
20250807	0.90
20250814	1.0
20250821	1.0
20250828	1.0
20250904	1.0
20250911	1.0
20250918	1.0
20250925	0.90
20251002	1.0
20251009	1.0
20251016	1.0
20251023	1.0
20251030	0.95
20251106	1.0
20251113	1.0
20251120	1.0
20251127	1.0
20251204	0.95
20220210	1.0
20220217	0.95
20220224	1.0
20220303	1.0
20220310	0.90
20220317	1.0
20220324	0.90
20220331	0.90
20220407	1.0
20220414	1.0
20220421	1.0
20220428	0.95
20220505	1.0
20220512	1.0
20220519	0.95
20220526	1.0
20220602	0.95
20220609	1.0
20220616	1.0
20220623	0.95
20220630	0.95
20220707	1.0
20220714	1.0
20220721	1.0
20220728	1.0
20220804	1.0
20220811	1.0
20220818	1.0
20220825	1.0
20220901	1.0
20220908	0.95
20220915	1.0
20220922	0.95
20220929	0.95
20221006	0.95
20221013	1.0
20221020	0.95
20221027	1.0
20221103	1.0
20221110	1.0
20221117	0.95
20221124	0.95
20221201	1.0
20221208	1.0
20221215	1.0
20221222	1.0
20221229	1.0
20230105	0.95
20230112	1.0
20230119	0.95
20230126	1.0
20230202	1.0
20230209	1.0
20230216	1.0
20230223	1.0
20230302	1.0
20230309	1.0
20230316	0.95
20230323	1.0
20230330	1.0
20230406	1.0
20230413	1.0
20230420	1.0
20230427	1.0
20230504	1.0
20230511	1.0
20230518	1.0
20230525	1.0
20230601	1.0
20230608	1.0
20230615	1.0
20230622	1.0
20230629	1.0
20230706	1.0
20230713	1.0
20230720	1.0
20230727	1.0
20230803	1.0
20230810	1.0
20230817	1.0
20230824	1.0
20230831	1.0
20230907	1.0
20230914	1.0
20230921	1.0
20230928	1.0
20231005	1.0
20231012	1.0
20231019	1.0
20231026	1.0
20231102	1.0
20231109	1.0
20231116	1.0
20231123	1.0
20231130	1.0
20231207	1.0
20231214	1.0
20231221	1.0
20231228	1.0
20240104	1.0
20240111	1.0
20240118	1.0
20240125	1.0
20240201	1.0
20240208	1.0
20240215	1.0
20240222	1.0
20240229	1.0
20240307	1.0
20240314	1.0
20240321	1.0
20240328	1.0
20240404	1.0
20240411	1.0
20240418	1.0
20240425	1.0
20240502	1.0
20240509	1.0
20240516	1.0
20240523	1.0
20240530	1.0
20240606	1.0
20240613	1.0
20240620	1.0
20051013	1.0
20051020	1.0
20051027	1.0
20051103	1.0
20051110	1.0
20051117	1.0
20051124	1.0
20051201	1.0
20051208	1.0
20051215	1.0
20051222	1.0
20051229	1.0
20060105	1.0
20060112	1.0
20060119	1.0
20060126	1.0
20060202	1.0
20060209	1.0
20060216	1.0
20060223	1.0
20060302	1.0
20060309	1.0
20060316	1.0
20060323	1.0
20060330	1.0
20060406	1.0
20060413	1.0
20060420	1.0
20060427	1.0
20060504	1.0
20060511	1.0
20060518	1.0
20060525	1.0
20060601	1.0
20060608	1.0
20060615	1.0
20060622	1.0
20060629	1.0
20060706	1.0
20060713	1.0
20060720	1.0
20060727	1.0
20060803	1.0
20060810	1.0
20060817	1.0
20060824	1.0
20060831	1.0
20060907	1.0
20060914	1.0
20060921	1.0
20060928	1.0
20061005	1.0
20061012	1.0
20061019	1.0
20061026	1.0
20061102	1.0
20061109	1.0
20061116	1.0
20061123	1.0
20061130	1.0
20061207	1.0
20061214	1.0
20061221	1.0
20061228	1.0
20070104	1.0
20070111	1.0
20070118	1.0
20070125	1.0
20070201	1.0
20070208	1.0
20070215	1.0
20070222	1.0
20070308	1.0
20070315	1.0
20070322	1.0
20070329	1.0
20070405	1.0
20070412	1.0
20070426	1.0
20070503	1.0
20070510	1.0
20070517	1.0
20070524	1.0
20070531	1.0
20070607	1.0
20070614	1.0
20070621	1.0
20070628	1.0
20070705	1.0
20070712	1.0
20070719	1.0
20070726	1.0
20070809	1.0
20070816	1.0
20070823	1.0
20070830	1.0
20070906	1.0
20070913	1.0
20070920	1.0
20070927	1.0
20071004	1.0
20071011	1.0
20071018	1.0
20071025	1.0
20071101	1.0
20071108	1.0
20071115	1.0
20071122	1.0
20071129	1.0
20071206	1.0
20071213	1.0
20071220	1.0
20071227	1.0
20080103	1.0
20080110	1.0
20080117	1.0
20080124	1.0
20080131	1.0
20080207	1.0
20080214	1.0
20080221	1.0
20080228	1.0
20070419	1.0
20080306	1.0
20080313	1.0
20080320	1.0
20080327	1.0
20080403	1.0
20080410	1.0
20080417	1.0
20080424	1.0
20080501	1.0
20080508	1.0
20080515	1.0
20080522	1.0
20080529	1.0
20080605	1.0
20080612	1.0
20080619	1.0
20080626	1.0
20080703	1.0
20080710	1.0
20080717	1.0
20080724	1.0
20080731	1.0
20080807	1.0
20080814	1.0
20080821	1.0
20080828	1.0
20080904	1.0
20080911	1.0
20080918	1.0
20080925	1.0
20081002	1.0
20081009	1.0
20081016	1.0
20081023	1.0
20081030	1.0
20081106	1.0
20081113	1.0
20081127	1.0
20081204	1.0
20081211	1.0
20081218	1.0
20081225	1.0
20090101	1.0
20090108	1.0
20090115	1.0
20090122	1.0
20090129	1.0
20090205	1.0
20090212	1.0
20090219	1.0
20090226	1.0
20090305	1.0
20090312	1.0
20090319	1.0
20090326	1.0
20090402	1.0
20090409	1.0
20090416	1.0
20090423	1.0
20090430	1.0
20090507	1.0
20090514	1.0
20090521	1.0
20090528	1.0
20090604	1.0
20090611	1.0
20090618	1.0
20090625	1.0
20090702	1.0
20090709	1.0
20090716	1.0
20090723	1.0
20090730	1.0
20090806	1.0
20090813	1.0
20090820	1.0
20090827	1.0
20090903	1.0
20090910	1.0
20090917	1.0
20090924	1.0
20091001	1.0
20091008	1.0
20091015	1.0
20091022	1.0
20091029	1.0
20091105	1.0
20091112	1.0
20091119	1.0
20091126	1.0
20091203	1.0
20091210	1.0
20091217	1.0
20091224	1.0
20091231	1.0
20100107	1.0
20100114	1.0
20100121	1.0
20100128	1.0
20100204	1.0
20100211	1.0
20100218	1.0
20100225	1.0
20100304	1.0
20100311	1.0
20100318	1.0
20100325	1.0
20100401	1.0
20100408	1.0
20100415	1.0
20100422	1.0
20100429	1.0
20100506	1.0
20100513	1.0
20100520	1.0
20100527	1.0
20100603	1.0
20100610	1.0
20100617	1.0
20100624	1.0
20100701	1.0
20100708	1.0
20100715	1.0
20100722	1.0
20100729	1.0
20100805	1.0
20100812	1.0
20100819	1.0
20100826	1.0
20100902	1.0
20100909	1.0
20100916	1.0
20100923	1.0
20100930	1.0
20101007	1.0
20101014	1.0
20101021	1.0
20101028	1.0
20101104	1.0
20101111	1.0
20101118	1.0
20101125	1.0
20101202	1.0
20101209	1.0
20101216	1.0
20101223	1.0
20101230	1.0
20110106	1.0
20110113	1.0
20110120	1.0
20110127	1.0
20110203	1.0
20110210	1.0
20110217	1.0
